Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000316757833824185,-0.000319826146635846,0.0981033967549462,0,0,0,7.36183674907851,0.0157883107915735,-2.98083827942345E-06,1.14045338887804E-05,0.0126788373012413,-9.80285406156158E-07,0.0100409818467851,0,0,0,0,0,0,package://asm1.SLDASM/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://asm1.SLDASM/meshes/base_link.STL,,复件 arm_right_shoulder_pitch _1_^asm1-1;复件 arm_right_shoulder_roll _1_^asm1-1;复件 arm_left_shoulder_roll _1_^asm1-1;复件 arm_left_shoulder_yaw _1_^asm1-1;复件 arm_left_elbow_pitch _1_^asm1-1;复件 arm_left_shoulder_pitch _1_^asm1-1;复件 arm_right_shoulder_yaw _1_^asm1-1;复件 arm_right_elbow_pitch _1_^asm1-1;复件 torso _1_^asm1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg_r1_Link,0.00237630319013366,0.00124954654221387,0.0291449496120327,0,0,0,0.123238922208533,0.000105110680384139,2.77696457337969E-06,-2.12279851365142E-05,9.41352116072342E-05,1.72700632635425E-06,7.35012664019771E-05,0,0,0,0,0,0,package://asm1.SLDASM/meshes/leg_r1_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://asm1.SLDASM/meshes/leg_r1_Link.STL,,复件 left_leg_hip_pitch _1_^asm1-1,r1,r1-axis,leg_r1_joint,revolute,0,-0.0545,0,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
leg_r2_Link,-0.000889379627012674,-0.0354222617148699,0.000564352182623655,0,0,0,0.968265313505045,0.000834772586404436,1.03373996480554E-05,5.32572866576297E-06,0.000812444617802051,-1.52135450619641E-05,0.00105640467247241,0,0,0,0,0,0,package://asm1.SLDASM/meshes/leg_r2_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://asm1.SLDASM/meshes/leg_r2_Link.STL,,复件 left_leg_hip_roll _1_^asm1-1,r2,r2-axis,leg_r2_joint,revolute,0,0,0.0525,0,1.5708,0,leg_r1_Link,0,0,1,0,0,0,0,,,,,,,,
leg_r3_Link,-0.000923971606770746,0.00137453913075919,0.0706011502942461,0,0,0,0.739749607173614,0.000601475689998463,1.97426296938061E-06,-1.13681692217029E-05,0.000830640772869465,9.55163300554654E-06,0.000595970916419633,0,0,0,0,0,0,package://asm1.SLDASM/meshes/leg_r3_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://asm1.SLDASM/meshes/leg_r3_Link.STL,,复件 left_leg_thin_yaw _1_^asm1-1,r3,r3-axis,leg_r3_joint,revolute,0,-0.095,-0.00025,1.5708,-1.5708,0,leg_r2_Link,0,0,-1,0,0,0,0,,,,,,,,
leg_r4_Link,0.0107535919496253,-0.0732310518774997,0.00447385756874623,0,0,0,0.625401970935785,0.000964865976611379,0.000102514056663673,-3.88394763637417E-06,0.000392627635809103,-9.97200294292721E-06,0.00105101828726014,0,0,0,0,0,0,package://asm1.SLDASM/meshes/leg_r4_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://asm1.SLDASM/meshes/leg_r4_Link.STL,,复件 left_leg_knee_pitch _1_^asm1-1,r4,r4-axis,leg_r4_joint,revolute,-0.0015,0,0.08,-1.5708,0,0,leg_r3_Link,0,0,1,0,0,0,0,,,,,,,,
leg_r5_Link,0.00923781619289871,-0.0336094599359637,0.214440683678036,0,0,0,0.201061752156751,8.97216912220056E-05,7.03950757429176E-06,3.34011128285607E-06,0.000369809253991156,-4.74547991215517E-07,0.000330483527394454,0,0,0,0,0,0,package://asm1.SLDASM/meshes/leg_r5_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://asm1.SLDASM/meshes/leg_r5_Link.STL,,复件 right_leg_ankle_pitch _1_^asm1-1,r5,r5-axis,leg_r5_joint,revolute,0.016229,-0.14477,-0.214,0,0,0,leg_r4_Link,0,0,-1,0,0,0,0,,,,,,,,
leg_l1_Link,-0.00347400579153628,-0.00129447494975775,-0.0283223443700973,0,0,0,0.119056074684946,0.000104043067842861,2.77599953912958E-06,-2.122534375642E-05,9.35696589425461E-05,1.72277908202673E-06,7.29641941423339E-05,0,0,0,0,0,0,package://asm1.SLDASM/meshes/leg_l1_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://asm1.SLDASM/meshes/leg_l1_Link.STL,,复件 right_leg_hip_pitch _1_^asm1-1,l1,l1-axis,leg_l1_joint,revolute,0,0.0545,0,-1.5708,0,3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
leg_l2_Link,0.000889333366113368,-0.0359701727595515,1.64793336597484E-05,0,0,0,0.96826421259172,0.000834771343577783,-3.75889232778148E-06,1.25329545051427E-06,0.000812444563120065,-1.52130999106612E-05,0.00105640277540061,0,0,0,0,0,0,package://asm1.SLDASM/meshes/leg_l2_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://asm1.SLDASM/meshes/leg_l2_Link.STL,,复件 right_leg_hip_roll _1_^asm1-1,l2,l2-axis,leg_l2_joint,revolute,0,0,-0.0525,3.1416,1.5708,0,leg_l1_Link,0,0,1,0,0,0,0,,,,,,,,
leg_l3_Link,-0.000924060586160295,-0.00137439459310529,0.0706062495672036,0,0,0,0.739750439680239,0.000601475829575746,-1.9740604179719E-06,-1.14542770352697E-05,0.000830640091303476,-9.52454114845396E-06,0.000595972142081302,0,0,0,0,0,0,package://asm1.SLDASM/meshes/leg_l3_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://asm1.SLDASM/meshes/leg_l3_Link.STL,,复件 right_leg_thin_yaw _1_^asm1-1,l3,l3-axis,leg_l3_joint,revolute,0,-0.095,-0.00025,1.5708,-1.5708,0,leg_l2_Link,0,0,-1,0,0,0,0,,,,,,,,
leg_l4_Link,0.0107819191492311,-0.0732205758742925,-0.218471141467568,0,0,0,0.625136311314154,0.000964556723569804,0.00010279846519889,4.09820022920461E-06,0.000392654719220275,1.00481985377016E-05,0.00105079587952676,0,0,0,0,0,0,package://asm1.SLDASM/meshes/leg_l4_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://asm1.SLDASM/meshes/leg_l4_Link.STL,,复件 right_leg_knee_pitch _1_^asm1-1,l4,l4-axis,leg_l4_joint,revolute,-0.0015,0.214,0.08,-1.5708,0,0,leg_l3_Link,0,0,-1,0,0,0,0,,,,,,,,
